property_type;state;lat;lon;area_m2;price_mxn
house;Yucat n;21.039.522;-89.563.911;223.0;2392607.0
house;Veracruz de Ignacio de la Llave;25.535.009;-103.302.429;350.0;800000.0
house;Nayarit;207.053.975;-1.052.684.878;101.0;1250000.0
house;Veracruz de Ignacio de la Llave;25.659.972;-103.366.303;170.0;940000.0
house;Tamaulipas;222.722.052;-978.476.749;214.0;2450000.0
house;Morelos;18.867.191;-99.180.214;184.0;1650000.0
house;Quer‚taro;206.962.084;-1.004.506.587;120.0;1450000.0
house;Quer‚taro;;;184.0;1750000.0
apartment;Guerrero;;;145.0;2700000.0
house;Baja California Sur;;;174.0;1550000.0
house;Distrito Federal;19.285.162;-99.194.185;150.0;2090000.0
house;Estado de M‚xico;19.497.893;-99.244.125;250.0;4450000.0
apartment;Guerrero;23.634.501;-102.552.788;170.0;3000000.0
house;Veracruz de Ignacio de la Llave;;;122.0;794000.0
house;Puebla;;;190.0;2550000.0
house;Sonora;23.634.501;-102.552.788;383.0;3500000.0
house;Quer‚taro;20.389.062;-99.957.622;95.0;930000.0
apartment;Guerrero;16.828.667;-99.858.981;137.0;1850000.0
house;Quer‚taro;20.705.742;-100.444.016;258.0;4000000.0
apartment;Distrito Federal;1.935.782;-99.149.406;80.0;1295000.0
house;Morelos;18.864.874;-98.925.911;121.0;1250000.0
house;Distrito Federal;19.342.911;-99.224.472;120.0;3267032.0
house;Estado de M‚xico;23.634.501;-102.552.788;228.0;2831000.0
house;Sonora;29.063.726;-110.976.746;102.0;1100000.0
house;Nuevo Le¢n;25.801.826;-100.196.945;190.0;1990000.0
house;Quer‚taro;205.951.924;-1.003.479.663;180.0;2280000.0
house;Puebla;19.059.084;-98.286.095;165.0;1800000.0
house;Estado de M‚xico;23.634.501;-102.552.788;150.0;672000.0
apartment;Quer‚taro;20.726.007;-100.442.642;135.0;2200000.0
house;Yucat n;210.278.699;-895.880.314;240.0;3500000.0
house;Morelos;189.147.310.938;-989.408.111.572;140.0;2250000.0
house;Yucat n;20.968.147;-89.629.875;70.0;1500000.0
house;Nuevo Le¢n;25.674.595;-100.463.539;234.0;2150000.0
house;Quer‚taro;;;140.0;797340.0
house;Yucat n;21.039.522;-89.563.911;220.0;2250000.0
house;Morelos;18.850.763;-98.943.855;160.0;1600000.0
house;Quer‚taro;20.726.007;-100.442.642;250.0;3700000.0
house;Yucat n;;;200.0;1735000.0
apartment;Puebla;19.056.689;-98.237.817;120.0;2200000.0
house;Tamaulipas;22.270.658;-97.849.037;380.0;5000000.0
house;Jalisco;20.748.312;-103.429.504;96.0;1475000.0
house;Puebla;;;240.0;2700000.0
house;San Luis Potos¡;;;237.0;3050000.0
house;Quer‚taro;20.614.635;-100.416.756;139.0;1750000.0
house;San Luis Potos¡;221.529.880.008;-1.009.653.639.793;250.0;2200000.0
house;Yucat n;21.039.522;-89.563.911;220.0;1790000.0
house;Veracruz de Ignacio de la Llave;;;160.0;900000.0
house;Nuevo Le¢n;25.723.516;-100.393.311;290.0;3444000.0
house;Veracruz de Ignacio de la Llave;19.563.767;-96.938.694;300.0;4350000.0
apartment;Distrito Federal;19.474.885;-99.188.231;92.0;1350000.0
house;Morelos;188.624.622;-992.120.335;261.0;4200000.0
house;Estado de M‚xico;19.508.698;-98.875.664;260.0;851000.0
house;Yucat n;20.968.791;-895.857.147;228.0;1264000.0
house;Puebla;;;151.0;1764000.0
apartment;Estado de M‚xico;193.735.635;-992.965.778;126.0;2700000.0
house;Quer‚taro;;;180.0;2090000.0
house;Tamaulipas;222.453.265;-978.431.699;131.0;1400000.0
apartment;Distrito Federal;19.303.392;-99.243.225;80.0;996137.0
apartment;Guerrero;16.794.434;-99.830.807;256.0;5835416.0
house;Tamaulipas;22.300.137;-97.897.331;111.0;1200000.0
house;Jalisco;20.749.051;-10.366.731;300.0;2800000.0
house;Veracruz de Ignacio de la Llave;26.847.851;-101.424.133;160.0;1273500.0
house;Baja California;23.634.501;-102.552.788;115.0;810000.0
apartment;Puebla;1.902.038;-98.207.626;219.0;1925000.0
house;Hidalgo;200.519.991;-98.755.252;110.0;850000.0
house;Yucat n;210.634.817;-896.110.378;250.0;2250000.0
house;Distrito Federal;19.399.652;-9.916.127;235.0;3900000.0
house;Durango;24.043.295;-104.636.917;350.0;4500000.0
house;Estado de M‚xico;;;130.0;1550000.0
house;Veracruz de Ignacio de la Llave;25.551.631;-103.432.737;236.0;750000.0
house;Quer‚taro;20.574.251;-100.388.476;195.0;1200000.0
apartment;Distrito Federal;19.482.603;-99.194.748;60.0;1500000.0
house;Morelos;18.953.268;-99.224.525;201.0;1500000.0
apartment;Morelos;18.891.611;-99.221.756;93.0;940000.0
apartment;San Luis Potos¡;221.441.622;-1.010.358.237;160.0;1699000.0
house;Estado de M‚xico;192.693.686;-996.021.262;250.0;5600000.0
house;Distrito Federal;;;261.0;4428050.0
house;Estado de M‚xico;;;115.0;1990000.0
house;Yucat n;210.749.983;-895.195.181;242.0;1935800.0
house;Puebla;18.462.721;-97.414.111;250.0;2750000.0
house;Estado de M‚xico;19.595.285;-99.050.201;120.0;700000.0
house;Sonora;27.934.649;-11.094.401;134.0;1100000.0
house;Sinaloa;247.911.916.858;-1.073.835.468.292;300.0;2750000.0
house;Distrito Federal;19.500.286;-99.122.093;180.0;2250000.0
house;Yucat n;21.072.905;-8.965.963;253.0;2100000.0
house;Tlaxcala;194.171.734;-981.434.147;140.0;850000.0
house;Baja California;;;106.0;1278000.0
house;Yucat n;21.008.295;-89.591.019;250.0;3006000.0
house;Morelos;18.864.482;-98.928.802;121.0;1250000.0
house;Distrito Federal;19.366.935;-99.077.541;208.0;1464700.0
house;San Luis Potos¡;23.634.501;-102.552.788;198.0;2100000.0
house;Chiapas;16.757.278;-93.134.056;255.0;3135831.0
house;Yucat n;;;270.0;2524500.0
house;Nayarit;20.697.244;-105.274.384;160.0;2950000.0
house;Morelos;;;234.0;4750000.0
house;Puebla;1.902.038;-98.207.626;330.0;3500000.0
house;Quintana Roo;211.773.896;-868.179.603;290.0;2250000.0
house;Guerrero;16.855.229;-99.918.871;150.0;1100000.0
house;Tabasco;1.797.423;-92.923.836;110.0;1050000.0
house;Chihuahua;;;182.0;1840000.0
house;Distrito Federal;19.313.719;-99.231.792;300.0;1970000.0
house;Durango;255.897.299.138;-1.034.631.872.177;118.0;950000.0
house;Quintana Roo;21.161.908;-868.515.279;204.0;2990000.0
house;Yucat n;2.103.071;-89.618.103;131.0;1350000.0
apartment;Distrito Federal;1.939.912;-99.141.464;74.0;3332000.0
house;Yucat n;210.563.227.206;-8.966.288.656;220.0;2000000.0
house;Estado de M‚xico;195.139.313;-992.281.847;160.0;2021000.0
house;Quer‚taro;20.598.278;-10.033.121;140.0;1760000.0
house;Sinaloa;23.270.559;-106.389.061;158.0;1350000.0
house;Baja California Sur;23.634.501;-102.552.788;80.0;950000.0
house;Veracruz de Ignacio de la Llave;;;165.0;1840000.0
apartment;Guerrero;168.595.223.103;-998.628.473.282;142.0;2100000.0
house;Morelos;18.884.224;-98.982.506;150.0;880000.0
house;Morelos;18.862.602;-99.213.448;160.0;1960000.0
apartment;Distrito Federal;1.940.012;-991.532;84.0;1774000.0
house;Veracruz de Ignacio de la Llave;2.555.617;-103.481.529;307.0;2100000.0
house;Veracruz de Ignacio de la Llave;25.573.046;-103.443.045;200.0;680000.0
house;Morelos;18.858.107;-99.200.287;105.0;1379000.0
house;Estado de M‚xico;;;135.0;2300000.0
house;Chihuahua;286.569.304;-1.060.919.272;115.0;1300000.0
house;Veracruz de Ignacio de la Llave;28.684.125;-100.541.089;160.0;850000.0
house;Tamaulipas;22.254.078;-97.824.554;140.0;1150000.0
house;Chiapas;16.766.455;-93.111.488;240.0;1280000.0
house;Veracruz de Ignacio de la Llave;;;340.0;4250000.0
house;Jalisco;;;100.0;1470000.0
house;Quer‚taro;20.545.198;-100.407.191;140.0;1050000.0
house;San Luis Potos¡;221.877.427.607;-1.009.580.844.641;200.0;1285000.0
house;Morelos;18.864.874;-98.925.911;86.0;880000.0
house;Baja California Sur;;;64.0;1520960.0
house;Yucat n;;;248.0;2300000.0
apartment;San Luis Potos¡;22.133.104;-100.982.117;130.0;1380000.0
house;Tamaulipas;26.079.573;-98.282.845;268.0;2200000.0
apartment;Veracruz de Ignacio de la Llave;19.127.317;-96.106.186;160.0;2900000.0
apartment;Distrito Federal;19.340.305;-99.214.455;60.0;2300000.0
house;Estado de M‚xico;19.517.476;-99.272.892;170.0;1860000.0
house;Estado de M‚xico;19.552.838;-99.251.161;80.0;838000.0
apartment;Distrito Federal;;;80.0;1436666.0
house;Quer‚taro;;;134.0;1565000.0
house;Estado de M‚xico;;;300.0;1150000.0
apartment;Distrito Federal;193.574.317.235;-992.873.257.399;67.0;2650000.0
house;Estado de M‚xico;1.969.323;-9.922.522;70.0;1008860.0
house;Veracruz de Ignacio de la Llave;;;110.0;950000.0
house;Quintana Roo;;;200.0;960000.0
house;Chihuahua;;;199.0;1100000.0
house;Distrito Federal;19.325.944;-99.098.311;250.0;2050000.0
house;Jalisco;20.621.093;-103.319.042;380.0;3700000.0
house;Baja California;32.647.057;-115.421.524;176.0;1950000.0
house;San Luis Potos¡;22.141.575;-100.900.192;245.0;1600000.0
house;Puebla;18.978.682;-98.250.015;128.0;1300000.0
house;Quer‚taro;20.619.887;-100.392.302;350.0;3700000.0
house;Morelos;18.892.714;-991.996;285.0;3750000.0
house;Tamaulipas;22.329.824;-97.880.325;200.0;3500000.0
apartment;Distrito Federal;19.322.523;-99.141.464;78.0;2850000.0
house;Chiapas;1.670.635;-93.177.151;115.0;1020000.0
house;Estado de M‚xico;19.297.163;-99.635.183;230.0;2000000.0
house;Veracruz de Ignacio de la Llave;20.950.622.658;-974.216.314.405;64.0;850000.0
house;Yucat n;209.725.515;-896.004.394;229.0;980000.0
house;Distrito Federal;19.317.675;-9.909.318;229.0;3500000.0
house;Morelos;18.879.347;-99.179.871;95.0;1350000.0
house;Durango;25.625.198;-103.499.954;132.0;870000.0
apartment;Distrito Federal;19.401.507;-9.914.682;90.0;1730000.0
apartment;Distrito Federal;19.474.285;-99.084.981;74.0;684000.0
house;Morelos;18.928.623;-99.247.382;220.0;1700000.0
house;Quer‚taro;20.520.556;-99.895.833;350.0;3900000.0
apartment;Distrito Federal;;;60.0;1480000.0
house;Nuevo Le¢n;25.662.563;-10.018.013;350.0;3000000.0
house;Sinaloa;23.246.303;-106.398.103;200.0;1000000.0
house;Morelos;18.969.294;-99.249.802;198.0;2600000.0
apartment;Guerrero;167.506.391.062;-99.762.630.685;70.0;830000.0
house;Quer‚taro;;;145.0;780000.0
house;Distrito Federal;19.335.116;-99.223.332;90.0;3260000.0
apartment;Distrito Federal;19.402.944;-99.199.727;70.0;1163600.0
house;Estado de M‚xico;19.682.219;-99.118.782;188.0;3100000.0
house;Nuevo Le¢n;257.214.602;-1.002.735.673;85.0;1200000.0
house;Quer‚taro;205.980.665;-1.004.308.988;115.0;1350000.0
house;Nuevo Le¢n;25.672.399;-100.257.777;123.0;1220000.0
house;Nuevo Le¢n;;;62.0;800000.0
apartment;Distrito Federal;19.399.815;-99.150.806;90.0;2280000.0
house;Yucat n;209.550.515;-896.793.392;120.0;780000.0
house;Chiapas;16.228.815;-92.128.043;147.0;1300000.0
apartment;Jalisco;2.069.064;-103.393.175;166.0;5217265.0
house;Quer‚taro;;;212.0;4000000.0
house;Estado de M‚xico;19.258.327;-99.598.374;215.0;4695000.0
house;Quer‚taro;20.726.007;-100.442.642;295.0;5200000.0
apartment;Distrito Federal;19.403.334;-99.157.755;125.0;4580150.0
apartment;Baja California;32.451.368;-116.973.935;70.0;685750.0
house;Aguascalientes;21.901.482;-10.234.405;350.0;3850000.0
house;Jalisco;20.302.476;-10.323.781;340.0;5949000.0
house;Puebla;19.076.204;-98.266.733;117.0;1350000.0
apartment;Distrito Federal;1.948.778;-99.110.583;65.0;1000000.0
house;Distrito Federal;193.176.966;-990.612.554;100.0;2075000.0
house;Chiapas;;;210.0;1500000.0
house;Quintana Roo;21.129.547;-86.817.017;180.0;1850000.0
house;Puebla;19.046.724;-98.254.127;136.0;2284800.0
apartment;Distrito Federal;19.352.431;-99.288.369;80.0;2900000.0
house;Morelos;18.858.107;-99.200.287;92.0;995580.0
house;Quer‚taro;206.536.084;-1.003.469.826;130.0;1690000.0
house;Nuevo Le¢n;257.542.524;-1.004.034.274;137.0;1350000.0
house;Estado de M‚xico;;;108.0;1240000.0
house;Yucat n;21.006.756;-89.570.984;155.0;1350000.0
house;Morelos;18.891.621;-99.071.698;68.0;790000.0
house;Distrito Federal;19.317.653;-99.236.291;350.0;3350000.0
house;Tamaulipas;22.246.319;-9.786.264;163.0;2150000.0
apartment;Distrito Federal;23.634.501;-102.552.788;100.0;1500000.0
apartment;Distrito Federal;193.651.763;-992.300.641;66.0;1250000.0
house;Quer‚taro;20.593.055;-100.333.424;175.0;1800000.0
house;Nuevo Le¢n;256.910.283;-1.003.568.071;340.0;5900000.0
house;Jalisco;20.594.706;-103.396.278;90.0;980000.0
house;Veracruz de Ignacio de la Llave;23.634.501;-102.552.788;148.0;1550000.0
house;Puebla;18.989.918;-982.295;220.0;1700000.0
house;Puebla;19.043.993;-9.825.757;188.0;1500000.0
house;Hidalgo;201.213.329;-987.818.531;66.0;650000.0
house;Estado de M‚xico;;;90.0;1354548.0
house;Nayarit;20.733.392;-105.288.009;172.0;2250000.0
apartment;Distrito Federal;19.400.249;-99.177.444;150.0;5200000.0
house;Puebla;;;226.0;3000000.0
house;Yucat n;21.023.252;-89.614.571;300.0;3100000.0
house;Hidalgo;20.124.367;-98.735.725;176.0;1567000.0
house;Veracruz de Ignacio de la Llave;25.510.947;-103.357.724;146.0;900000.0
apartment;Distrito Federal;19.480.501;-99.178.139;70.0;870000.0
house;Yucat n;21.030.668;-89.599.258;305.0;3600000.0
house;Quer‚taro;20.679.045;-100.341.225;157.0;1950000.0
house;Aguascalientes;219.633.957;-102.343.524;146.0;790000.0
house;Baja California;32.469.498;-11.696.022;111.0;650000.0
house;Puebla;;;129.0;1189000.0
house;Tamaulipas;22.329.824;-97.880.325;138.0;1580000.0
apartment;Yucat n;21.039.522;-89.563.911;145.0;2399634.0
house;Chiapas;19.701.769;-101.145.103;120.0;650000.0
apartment;Guerrero;16.870.413;-99.873.192;150.0;3650000.0
house;Morelos;;;250.0;4800000.0
house;Estado de M‚xico;19.765.149;-98.646.915;380.0;1990000.0
apartment;Distrito Federal;19.372.248;-99.133.377;65.0;1074852.0
house;Distrito Federal;19.280.767;-99.033.615;349.0;1811525.0
house;Chiapas;;;170.0;990000.0
apartment;Distrito Federal;19.389.791;-99.164.696;154.0;5000000.0
house;Yucat n;21.039.522;-89.563.911;350.0;3050000.0
house;Estado de M‚xico;19.668.947;-99.224.525;90.0;760000.0
house;Puebla;19.009.069;-98.196.693;148.0;1700000.0
house;Baja California;32.494.823;-117.016.725;92.0;980000.0
apartment;Distrito Federal;19.314.545;-99.140.672;122.0;4650000.0
house;San Luis Potos¡;221.447.396;-1.010.273.412;166.0;1900000.0
house;Jalisco;2.064.338;-103.431.613;120.0;1350000.0
house;Quer‚taro;;;155.0;2250000.0
house;Baja California;30.733.356;-115.984.407;200.0;1700000.0
house;Estado de M‚xico;19.553.615;-99.248.715;260.0;2800000.0
apartment;Distrito Federal;19.405.298;-99.164.986;80.0;4280000.0
house;Quer‚taro;205.969.621;-1.003.337.597;193.0;2250000.0
house;Puebla;;;212.0;2700000.0
house;Morelos;23.634.501;-102.552.788;115.0;1080000.0
house;Distrito Federal;1.934.016;-99.194.081;90.0;1519125.0
house;Yucat n;21.075.163;-89.516.731;185.0;1430000.0
house;Tamaulipas;22.257.896;-9.786.808;200.0;2700000.0
apartment;Guerrero;168.531.086;-998.236.533;138.0;1300000.0
house;Puebla;19.027.384;-98.265.213;160.0;2300000.0
house;Estado de M‚xico;19.309.069;-99.602.311;146.0;1900000.0
apartment;Puebla;;;180.0;3790000.0
house;Sinaloa;2.320.485;-106.424.401;200.0;2250000.0
house;Chihuahua;28.631.943;-106.117.668;170.0;1550000.0
house;Yucat n;210.399.331;-895.965.747;235.0;2436155.0
house;Morelos;;;185.0;1400000.0
house;Guerrero;168.808.724;-999.359.641;104.0;850000.0
house;Baja California Sur;24.125.583;-110.330.846;128.0;1790000.0
house;Chihuahua;;;130.0;1200000.0
house;Estado de M‚xico;19.269.808;-99.593.781;238.0;3750000.0
apartment;Distrito Federal;1.941.498;-99.177.444;164.0;5500000.0
house;Yucat n;20.996.355;-89.583.946;248.0;2400000.0
house;Morelos;18.954.132;-99.266.083;85.0;1050000.0
house;Estado de M‚xico;19.494.789;-99.270.887;151.0;2010000.0
house;Guerrero;176.474.239;-1.015.455.504;119.0;2376400.0
house;Estado de M‚xico;192.666.119;-996.403.991;191.0;2200000.0
house;Quintana Roo;21.161.908;-868.515.279;210.0;1975000.0
apartment;Distrito Federal;19.377.171;-99.188.503;72.0;2028000.0
apartment;Distrito Federal;192.790.911;-992.114.234;76.0;771282.0
house;Jalisco;20.660.534;-103.318.809;345.0;1300000.0
house;Veracruz de Ignacio de la Llave;2.095.618;-97.408.578;112.0;2000000.0
house;San Luis Potos¡;22.141.575;-100.900.192;229.0;2148600.0
apartment;Distrito Federal;19.443.178;-9.920.237;115.0;4535000.0
house;Yucat n;210.525.830.247;-895.386.385.918;168.0;1533516.0
house;Estado de M‚xico;19.621.174;-99.148.073;100.0;700000.0
house;Puebla;18.915.431;-98.435.252;200.0;1890000.0
house;Estado de M‚xico;;;215.0;1984620.0
house;Yucat n;;;130.0;2095000.0
house;Tabasco;17.962.037;-92.973.569;139.0;1250000.0
apartment;Distrito Federal;193.010.279.716;-991.442.191.601;108.0;1650000.0
apartment;Puebla;;;68.0;788536.0
apartment;Veracruz de Ignacio de la Llave;20.949.051;-97.364.006;300.0;3700000.0
house;Estado de M‚xico;19.627.731;-9.930.194;146.0;870000.0
house;Baja California Sur;240.390.214.553;-1.103.097.617.626;250.0;2950000.0
house;Quintana Roo;21.112.447;-8.685.264;180.0;2500000.0
apartment;Distrito Federal;19.451.872;-99.173.522;70.0;1270000.0
house;Morelos;18.913.485;-99.240.456;80.0;1300000.0
house;Morelos;18.840.925;-98.934.196;110.0;1800000.0
apartment;Distrito Federal;193.819.271;-991.891.539;90.0;3390500.0
house;Veracruz de Ignacio de la Llave;25.558.637;-103.449.786;250.0;2200000.0
house;Jalisco;20.764.135;-103.339.958;140.0;1600000.0
apartment;Distrito Federal;19.385.989;-99.186.285;107.0;1507500.0
house;San Luis Potos¡;;;360.0;5300000.0
house;Chihuahua;286.329.957;-1.060.691.004;290.0;3715000.0
house;Puebla;18.996.482;-98.239.653;100.0;750000.0
apartment;Distrito Federal;19.401.507;-9.914.682;65.0;1730000.0
house;Quer‚taro;20.726.007;-100.442.642;135.0;2200000.0
house;Morelos;18.795.519;-99.231.445;165.0;1780000.0
house;Morelos;18.885.848;-98.973.834;82.0;1438200.0
house;Estado de M‚xico;;;90.0;626000.0
house;Aguascalientes;;;235.0;2200000.0
apartment;Puebla;;;140.0;2550000.0
house;Quer‚taro;20.403.807;-99.990.905;110.0;1180000.0
house;San Luis Potos¡;22.134.478;-100.929.138;97.0;775000.0
house;Quer‚taro;;;90.0;856800.0
house;Estado de M‚xico;195.562.275;-992.674.713;64.0;999999.0
apartment;Quer‚taro;20.726.007;-100.442.642;173.0;4400000.0
house;Nuevo Le¢n;25.757.803;-100.404.541;179.0;1890000.0
house;San Luis Potos¡;221.593.377;-1.010.443.504;187.0;1900000.0
house;Quer‚taro;20.726.007;-100.442.642;180.0;2430000.0
house;Distrito Federal;19.475.765;-99.145;270.0;2500000.0
house;Quer‚taro;206.490.506;-1.004.393.293;380.0;5700000.0
house;Puebla;19.060.701;-98.329.774;255.0;2650000.0
house;Veracruz de Ignacio de la Llave;25.365.447;-1.009.942;167.0;1444000.0
apartment;Guerrero;23.634.501;-102.552.788;180.0;2000000.0
house;Baja California;32.589.504;-115.363.762;86.0;790000.0
apartment;Distrito Federal;19.383.952;-99.160.229;110.0;3350220.0
house;Puebla;1.897.302;-98.206.238;210.0;2850000.0
apartment;Baja California Sur;241.647.821.422;-1.103.053.683.043;71.0;800000.0
apartment;Yucat n;21.072.905;-8.965.963;210.0;1976250.0
house;Morelos;;;81.0;1000000.0
house;Sinaloa;;;224.0;1850000.0
house;Sonora;;;150.0;1638000.0
apartment;San Luis Potos¡;;;220.0;2250000.0
house;Nuevo Le¢n;25.758.963;-100.316.811;175.0;1250000.0
house;Puebla;190.378.006;-983.007.086;165.0;2120000.0
house;Morelos;;;185.0;1600000.0
house;Distrito Federal;193.870.644;-990.362.059;300.0;2550000.0
house;Estado de M‚xico;195.329.337;-99.164.866;290.0;4650000.0
house;Veracruz de Ignacio de la Llave;;;225.0;2800000.0
house;Tlaxcala;1.929.712;-98.255.075;160.0;1300000.0
house;Morelos;;;150.0;1580000.0
house;Veracruz de Ignacio de la Llave;;;155.0;1700000.0
house;Morelos;23.634.501;-102.552.788;110.0;1300000.0
house;Quer‚taro;207.070.670.337;-1.004.718.160.629;309.0;3700000.0
house;Puebla;19.046.589;-98.102.929;92.0;630000.0
house;Nuevo Le¢n;257.394.971;-1.002.754.971;164.0;1250000.0
house;Veracruz de Ignacio de la Llave;19.100.079;-96.121.007;220.0;2850000.0
house;Morelos;;;144.0;805000.0
house;San Luis Potos¡;22.147.087;-100.960.213;105.0;1100000.0
apartment;San Luis Potos¡;;;169.0;2890000.0
house;Guanajuato;211.264.477;-101.611.078;250.0;2290000.0
house;Morelos;18.917.542;-98.963.181;140.0;1450000.0
house;Distrito Federal;19.472.128;-99.146.697;190.0;1943000.0
house;Estado de M‚xico;19.234.984;-99.558.175;115.0;2100000.0
house;Puebla;189.187.144;-984.266.391;90.0;890000.0
house;Yucat n;21.075.163;-89.516.731;185.0;1695000.0
